AgeBand,Gender,City,Account Type,Account Balance,Date Of Account Opening,Last Transaction Date,Transaction Amount,Account Balance After Transaction,Loan Amount,Loan Type,Interest Rate,Loan Term,Loan Status,Card Type,Credit Limit,Credit Card Balance
45-54,Male,Fort Worth,Current,1313.38,5/26/2006,4/23/2023,1457.61,2770.99,32200.06,Mortgage,2.64,36,Rejected,AMEX,1737.88,4524.32
45-54,Female,Louisville,Current,5988.46,03/02/2006,1/27/2023,1660.99,7649.45,47743.52,Auto,2.48,36,Approved,MasterCard,1799.36,856.7
25-34,Female,Philadelphia,Current,8277.88,7/19/2015,01/01/2023,839.91,7437.97,47981.31,Auto,7.84,24,Closed,AMEX,6112.96,3242.36
45-54,Other,Oklahoma City,Savings,7487.21,1/30/2008,08/02/2023,4908.89,12396.1,4482.8,Personal,7.21,48,Approved,MasterCard,2069.41,4329.17
65+,Other,Phoenix,Savings,6993.55,5/25/2021,3/27/2023,589.07,6404.48,1092.33,Mortgage,5.37,12,Approved,Visa,2765.3,25.72
45-54,Male,El Paso,Savings,9295.64,12/21/2015,06/04/2023,4914.67,4380.97,48039.24,Mortgage,1.45,24,Closed,AMEX,8029.18,1331.7
35-44,Male,Dallas,Current,4005.72,07/07/2022,3/21/2023,3534.9,470.82,27230.51,Mortgage,5.25,24,Approved,MasterCard,2996.82,1441.65
45-54,Male,Memphis,Savings,1458.45,12/14/2022,03/01/2023,454.87,1003.58,35319.63,Mortgage,8.51,12,Approved,AMEX,4470.78,3450.21
45-54,Male,Indianapolis,Current,1109.3,4/29/2012,11/05/2023,768.56,340.74,45717.26,Mortgage,1.1,60,Rejected,AMEX,4349.57,3227.18
55-64,Other,Washington,Current,9554.62,12/20/2021,02/05/2023,1641.59,11196.21,22224.58,Auto,1.92,24,Closed,Visa,4961.44,2765.38
25-34,Male,San Diego,Savings,5930.75,08/12/2015,10/18/2023,1309.13,7239.88,22592.01,Personal,8.28,60,Rejected,Visa,4782.39,4564.25
35-44,Female,Oklahoma City,Current,8126.85,9/13/2005,10/16/2023,4865.91,12992.76,9182.1,Auto,5.73,48,Approved,AMEX,5697.31,4935.07
55-64,Female,Columbus,Savings,5402.04,11/13/2010,11/21/2023,3070.58,8472.62,45385.59,Auto,6.96,36,Approved,Visa,5776.68,339.59
45-54,Female,Colorado Springs,Savings,4045.09,8/14/2014,12/29/2023,381.21,4426.3,32735.99,Auto,7.71,48,Approved,Visa,3018.46,4357.95
45-54,Other,Atlanta,Savings,2082.67,9/16/2015,6/24/2023,2631.77,-549.1,9833.19,Mortgage,3.7,36,Closed,AMEX,2345.93,1066.61
25-34,Male,Fresno,Savings,8578.44,10/02/2016,12/20/2023,4486.73,13065.17,28429.81,Mortgage,3.68,24,Approved,Visa,2673.1,770.74
65+,Female,Austin,Current,728.8,07/07/2006,12/18/2023,2086.75,2815.55,17080.03,Auto,3.38,36,Rejected,AMEX,2838.82,3905.1
45-54,Female,Omaha,Savings,9012.31,08/12/2019,3/30/2023,3333.99,5678.32,8211.92,Auto,2.51,12,Closed,MasterCard,8388.99,3165.21
18-24,Other,Tucson,Current,2129.63,8/18/2005,2/28/2023,3868.23,-1738.6,9911.6,Personal,3.74,12,Rejected,AMEX,9371.27,299.03
65+,Other,Milwaukee,Savings,194.36,4/24/2017,03/02/2023,933.29,-738.93,28403.6,Mortgage,9.58,48,Closed,MasterCard,7650.68,1076.46
55-64,Other,Fresno,Savings,1128.58,10/29/2016,8/30/2023,4278.95,-3150.37,28654.88,Personal,1.77,12,Closed,MasterCard,1374.25,3559.98
65+,Female,San Antonio,Current,8846.74,01/01/2005,10/10/2023,2249.62,11096.36,39707.1,Personal,3.17,48,Rejected,MasterCard,6394.78,53.5
18-24,Other,El Paso,Savings,829.7,09/02/2011,8/13/2023,292.88,536.82,13151.23,Mortgage,3.86,60,Closed,Visa,8026.74,1424.94
25-34,Female,San Antonio,Savings,3616.88,10/07/2014,08/10/2023,4395.73,8012.61,45875.84,Personal,2.38,60,Rejected,AMEX,5693.7,2256.35
25-34,Male,Boston,Savings,2578.13,06/04/2004,3/31/2023,2826.12,5404.25,26412.03,Mortgage,1.7,48,Rejected,AMEX,1720.05,4563.01
18-24,Female,Chicago,Current,464.86,10/01/2022,1/15/2023,999.63,1464.49,11004.46,Personal,2.46,48,Approved,Visa,5608.25,4251.87
65+,Male,Kansas City,Savings,5361.52,7/27/2006,12/31/2023,1594.08,3767.44,21250.75,Personal,5.75,48,Approved,AMEX,6736.21,1084.56
55-64,Female,Oklahoma City,Savings,9983.5,08/10/2018,07/04/2023,2851.17,12834.67,46244.6,Mortgage,6.37,36,Approved,AMEX,6126.15,1530.42
35-44,Male,Fresno,Savings,8544.77,11/12/2000,7/23/2023,1877.13,6667.64,24429.67,Auto,2.94,12,Rejected,AMEX,7494.66,2591.92
45-54,Female,Baltimore,Current,1772.04,02/12/2015,02/10/2023,1174.58,597.46,43861.04,Auto,5.53,36,Closed,Visa,3404.77,2181.1
55-64,Female,San Francisco,Current,8854.73,9/15/2004,6/20/2023,2401.76,11256.49,8831.8,Auto,1.06,36,Approved,AMEX,7278.03,3846.45
65+,Female,Jacksonville,Current,4572.76,05/04/2010,9/25/2023,933.38,5506.14,45783.96,Auto,6.42,36,Closed,Visa,3997.31,4756.24
65+,Female,Sacramento,Current,2805.18,7/30/2003,7/15/2023,1234.44,1570.74,22100.32,Mortgage,1.01,60,Closed,MasterCard,7417.07,3107.77
55-64,Other,Oklahoma City,Savings,6439.03,8/23/2005,09/07/2023,4135.4,10574.43,46870.22,Personal,6.78,60,Rejected,Visa,5395.87,560.7
55-64,Female,Seattle,Current,2245.28,01/05/2002,7/14/2023,1150.42,3395.7,43437.85,Mortgage,5.35,36,Closed,AMEX,8046.16,2208.16
35-44,Female,Portland,Current,8808.55,07/08/2009,8/18/2023,3479.88,12288.43,33338.35,Mortgage,1.98,24,Rejected,Visa,5522.52,2735.81
25-34,Other,Mesa,Current,6279.42,7/28/2008,04/06/2023,1259.84,5019.58,33969.47,Mortgage,1.8,36,Rejected,MasterCard,3589.1,4775.86
25-34,Other,El Paso,Current,1446.62,5/16/2002,08/06/2023,1069.87,2516.49,11363.89,Personal,1.06,24,Rejected,AMEX,9908.09,1725.59
45-54,Other,Albuquerque,Savings,5749.42,7/20/2008,01/04/2023,1263.27,4486.15,30538.66,Auto,5.96,24,Rejected,AMEX,3179.12,3347.7
55-64,Other,Jacksonville,Savings,5152.67,1/13/2020,01/05/2023,2346.81,2805.86,27925.28,Mortgage,8.26,12,Rejected,MasterCard,4623.6,56.38
55-64,Other,Austin,Current,4767.41,8/13/2018,2/15/2023,739.94,4027.47,17373.2,Mortgage,8.71,48,Rejected,Visa,7976.79,2183.5
65+,Other,Kansas City,Current,3713.26,10/29/2015,11/27/2023,542,3171.26,25775.45,Personal,6.12,36,Closed,MasterCard,5660.53,202.41
18-24,Other,Philadelphia,Current,4794.63,6/23/2006,05/06/2023,3786.14,1008.49,46528.03,Personal,8.98,36,Approved,AMEX,7147.73,1185.11
18-24,Other,Fresno,Current,5901.51,3/21/2010,5/17/2023,126.28,5775.23,1259.98,Mortgage,8.76,36,Approved,MasterCard,5391.71,2346.46
18-24,Other,Mesa,Savings,7362.34,05/03/2001,5/16/2023,1933.57,5428.77,21439.08,Personal,7.28,48,Approved,AMEX,6494.58,2906.73
65+,Other,Atlanta,Savings,9186.97,06/02/2005,11/10/2023,1986.21,7200.76,17348.3,Mortgage,4.27,24,Closed,AMEX,5610.23,4383.34
35-44,Other,San Francisco,Current,539.4,12/11/2005,12/25/2023,4466.28,-3926.88,48100.32,Mortgage,8.44,36,Closed,MasterCard,9925.21,924.02
45-54,Male,Omaha,Current,5736.51,6/20/2012,11/15/2023,3874.71,9611.22,48720.82,Mortgage,4.53,36,Rejected,MasterCard,2867.41,1543.14
25-34,Female,Omaha,Current,7544.54,1/30/2021,07/08/2023,2558.28,10102.82,29697.37,Personal,4.63,48,Approved,MasterCard,9023.88,2786.09
18-24,Female,Fort Worth,Current,1243.99,03/02/2022,5/23/2023,2404.27,3648.26,27950.34,Auto,7.1,60,Closed,Visa,5180.67,1063.32
55-64,Other,Nashville,Current,9123.83,09/07/2021,3/14/2023,2832.35,6291.48,45257.41,Mortgage,9.35,48,Rejected,AMEX,1226.63,4537.6
18-24,Other,Omaha,Current,2525.4,10/25/2015,6/27/2023,1795.56,4320.96,1320.58,Mortgage,5.5,48,Approved,AMEX,9801.79,4369.68
65+,Male,Denver,Current,8349.99,06/03/2020,12/16/2023,3506.88,4843.11,28551.75,Mortgage,2.59,60,Rejected,AMEX,8825.31,4434.35
25-34,Other,Chicago,Savings,6653.87,5/28/2014,8/14/2023,3433.5,3220.37,2206.99,Mortgage,2.28,12,Approved,MasterCard,1662.19,3601.42
35-44,Male,Seattle,Savings,5639.51,1/24/2013,10/05/2023,2877.53,2761.98,48439.95,Mortgage,3.72,48,Approved,AMEX,4451.64,4981.24
65+,Female,Denver,Savings,8705.5,5/17/2007,8/26/2023,297.89,8407.61,16687.82,Auto,5.12,48,Approved,MasterCard,8771.57,4130.99
45-54,Female,Philadelphia,Current,9695.42,11/30/2022,04/04/2023,642.92,10338.34,26519.26,Mortgage,3.68,36,Closed,MasterCard,5559.78,2479.94
35-44,Other,Indianapolis,Savings,9971.6,2/16/2021,11/26/2023,205.99,9765.61,21460.86,Personal,7.41,24,Rejected,Visa,9315.29,3693.78
25-34,Male,San Diego,Current,6864.48,09/05/2012,7/16/2023,3595.39,3269.09,44787.58,Auto,5.88,24,Rejected,AMEX,6365.93,479.28
25-34,Male,Seattle,Current,3457.4,8/22/2004,03/05/2023,2393.22,1064.18,49991.08,Mortgage,4.66,48,Closed,Visa,8287.3,4590.25
35-44,Female,Colorado Springs,Current,8759.52,01/06/2009,5/30/2023,4775.36,13534.88,4351.01,Auto,2.92,24,Approved,MasterCard,5051.49,4920.85
45-54,Female,Fort Worth,Savings,6578.05,6/25/2004,5/21/2023,4762.12,1815.93,36869.53,Mortgage,6.45,36,Approved,AMEX,1834.47,4285.04
45-54,Male,Jacksonville,Savings,3300.96,12/15/2007,8/19/2023,3992.87,-691.91,19031.93,Auto,7.07,48,Approved,AMEX,3042.97,177.97
55-64,Male,San Antonio,Current,9330.41,11/09/2012,09/02/2023,2220.81,7109.6,7814.57,Mortgage,8.06,48,Rejected,AMEX,2220.55,826.04
